,contact?,point_of_contact,lead_author,lead_aff,anchor_author,email_subject,email_message,pub_title,pub_url,published_by,funded_by,cites,pub_snippet,included_adipose,included_bone,included_cells,included_evboost,included_exosome,included_media,included_thesis,included_umbilical_cord
0,No,Jacob Dairaghi,Jacob Dairaghi,"Department of Biomedical Engineering, Purdue School of Engineering, Indiana University-Purdue University Indianapolis, Indianapolis, IN, USA",Nicanor I. Moldovan,We appreciate your Applied Sciences paper,"Good Day Dr. Dairaghi, I found your 2022 paper - ""3D Printing of Human Ossicle Models for the Biofabrication of Personal... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",3D Printing of Human Ossicle Models for the Biofabrication of Personalized Middle Ear Prostheses,https://doi.org/10.3390/app122111015,Applied Sciences,Fundação para a Ciência e Tecnologia | ,0,"The middle ear bones ('ossicles') may become severely damaged due to accidents or to 
diseases. In these situations, the most common current treatments include replacing them with ...",0,1,0,0,0,0,0,0
0,No,Vivian Shang,Vivian Shang,"Kolling Institute, Faculty of Medicine and Health, University of Sydney, NSW, Australia",Jiao Jiao Li,We appreciate your bioRxiv paper,"Good Day Dr. Shang, I found your 2022 paper - ""Understanding the effects of mesenchymal stromal cell therapy for trea... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Understanding the effects of mesenchymal stromal cell therapy for treating osteoarthritis using an <i>in vitro</i> co-culture model,https://doi.org/10.1101/2022.08.25.505255,bioRxiv,Fundação para a Ciência e Tecnologia | ,0,"Osteoarthritis (OA) is a leading cause of chronic pain and disability, for which there is no cure. 
Mesenchymal stromal cells (MSCs) have been used in clinical trials for treating OA due to ...",0,0,0,0,0,0,0,0
0,No,Priyanka Priyadarshani,Priyanka Priyadarshani,"School of Chemical, Materials, and Biomedical Engineering, University of Georgia",Luke J. Mortensen,We appreciate your bioRxiv paper,"Good Day Dr. Priyadarshani, I found your 2022 paper - ""Integration of imaging modalities with lipidomic characterization to i... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Integration of imaging modalities with lipidomic characterization to investigate MSCs potency metrics,https://doi.org/10.1101/2022.05.25.493259,bioRxiv,Fundação para a Ciência e Tecnologia | ,0,"Mesenchymal stem cells (MSCs) are widely used as therapeutics targets for numerous 
autoimmune diseases. However, MSC therapies have had limited success so far in clinical trials, ...",0,0,0,0,0,0,0,0
0,No,Beata Niemczyk-Soczynska,Beata Niemczyk-Soczynska,"Institute of Fundamental Technological Research, Polish Academy of Sciences, Pawinskiego 5b St., 02-106 Warsaw, Poland",Pawel Sajkiewicz,We appreciate your RSC Advances paper,"Good Day Dr. Niemczyk-Soczynska, I found your 2022 paper - ""A methylcellulose/agarose hydrogel as an innovative scaffold for tissu... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",A methylcellulose/agarose hydrogel as an innovative scaffold for tissue engineering,https://doi.org/10.1039/d2ra04841h,RSC Advances,Narodowe Centrum Badań | European Social Fund | Narodowe Centrum Nauki | ,0,"In situ crosslinked materials are the main interests of both scientific and industrial research. 
Methylcellulose (MC) aqueous solution is one of the representatives that belongs to this ...",0,0,0,0,0,0,0,0
0,No,Ty S. Maughon,Ty S. Maughon,"School of Chemical, Materials, and Biomedical Engineering, University of Georgia, Athens, Georgia, USA",Ross A. Marklein,We appreciate your Cytotherapy paper,"Good Day Dr. Maughon, I found your 2022 paper - ""Metabolomics and cytokine profiling of mesenchymal stromal cells ident... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Metabolomics and cytokine profiling of mesenchymal stromal cells identify markers predictive of T-cell suppression,https://doi.org/10.1016/j.jcyt.2021.08.002,Cytotherapy,National Science Foundation | University of Georgia | Georgia Research Alliance | ,3,"Background aims Mesenchymal stromal cells (MSCs) have shown great promise in the field 
of regenerative medicine, as many studies have shown that MSCs possess ...",0,0,0,0,0,0,0,0
0,No,Logan D. Morton,Logan D. Morton,"Mcketta Department of Chemical Engineering, University of Texas at Austin, Austin, TX",Adrianne M. Rosales,We appreciate your bioRxiv paper,"Good Day Dr. Morton, I found your 2022 paper - ""Crosslinker Structure Modulates Bulk Mechanical Properties and Dictate... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Crosslinker Structure Modulates Bulk Mechanical Properties and Dictates hMSC Behavior on Hyaluronic Acid Hydrogels,https://doi.org/10.1101/2022.08.03.502671,bioRxiv,National Science Foundation | University of Georgia | Georgia Research Alliance | ,0,"Synthetic hydrogels are attractive platforms due in part to their highly tunable mechanics, 
which impact cell behavior and secretory profile. These mechanics are often controlled by ...",0,0,0,0,0,0,0,0
0,No,Kyle W. Christensen,Kyle W. Christensen,"Embody, Inc.  Norfolk VA 23508 USA",Michael P. Francis,We appreciate your Advanced Healthcare Materials paper,"Good Day Dr. Christensen, I found your 2022 paper - ""Assembled Cell-Decorated Collagen (AC-DC) Fiber Bioprinted Implants wi... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Assembled Cell-Decorated Collagen (AC-DC) Fiber Bioprinted Implants with Musculoskeletal Tissue Properties Promote Functional Recovery in Volumetric Muscle Loss,https://doi.org/10.1002/adhm.202101357,Advanced Healthcare Materials,National Institutes of Health | U.S. Air Force | U.S. Department of Defense | Defense Advanced Research Projects Agency | ,2,"Musculoskeletal tissue injuries, including volumetric muscle loss (VML), are commonplace 
and often lead to permanent disability and deformation. Addressing this healthcare need, an ...",0,0,0,0,0,0,0,0
0,No,Sarah M. Moss,Sarah M. Moss,"Advanced Solutions Life Sciences, Louisville, KY, USA",James B. Hoying,We appreciate your Frontiers in Bioengineering and Biotechnology paper,"Good Day Dr. Moss, I found your 2022 paper - ""A Biofabrication Strategy for a Custom-Shaped, Non-Synthetic Bone Graf... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ","A Biofabrication Strategy for a Custom-Shaped, Non-Synthetic Bone Graft Precursor with a Prevascularized Tissue Shell",https://doi.org/10.3389/fbioe.2022.838415,Frontiers in Bioengineering and Biotechnology,National Institutes of Health | U.S. Air Force | U.S. Department of Defense | Defense Advanced Research Projects Agency | ,1,"... Bone marrow-derived mesenchymal stromal cells (MSCs, RoosterBio) were expanded using 
vendor-provided growth media (RoosterBio). MSCs were used at passage 3 throughout all ...",1,1,1,0,0,1,0,0
0,No,Tyler J. DiStefano,Tyler J. DiStefano,"Leni and Peter W. May Department of Orthopaedics, Icahn School of Medicine at Mount Sinai, New York, NY, USA",James C. Iatridis,We appreciate your CARTILAGE paper,"Good Day Dr. DiStefano, I found your 2022 paper - ""Hydrogel-Embedded Poly(Lactic-<i>co</i>-Glycolic Acid) Microspheres fo... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Hydrogel-Embedded Poly(Lactic-<i>co</i>-Glycolic Acid) Microspheres for the Delivery of hMSC-Derived Exosomes to Promote Bioactive Annulus Fibrosus Repair,https://doi.org/10.1177/19476035221113959,CARTILAGE,National Institutes of Health | U.S. Air Force | U.S. Department of Defense | Defense Advanced Research Projects Agency | ,1,"Objective Intervertebral disk degeneration is a prevalent postoperative complication after 
discectomy, underscoring the need to develop preventative and bioactive treatment strategies ...",0,0,0,0,1,0,0,0
0,No,Myoung Hwan Kim,Myoung Hwan Kim,"Department of Biomedical Engineering, Pennsylvania State University, University Park, PA, USA",Ibrahim T Ozbolat,We appreciate your Biofabrication paper,"Good Day Dr. Kim, I found your 2022 paper - ""Aspiration-assisted freeform bioprinting of mesenchymal stem cell sphe... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Aspiration-assisted freeform bioprinting of mesenchymal stem cell spheroids within alginate microgels,https://doi.org/10.1088/1758-5090/ac4dd8,Biofabrication,"The Lysosomal and Rare Disorders Research and Treatment Center Inc. | Division of Civil, Mechanical and Manufacturing Innovation | National Institute of Dental and Craniofacial Research | ",6,"... Human bone marrow-derived mesenchymal stem cells (hMSCs, RoosterBio Inc., MD, USA) 
... We thank RoosterBio for providing hMSCs and growth media, and Bio-Techne for providing ...",0,1,1,0,0,1,0,0
0,No,Dhanalakshmi Jeyachandran,Dhanalakshmi Jeyachandran,Department of Mining and Materials Engineering McGill University  Montreal H3A 0E9 Canada,Marta Cerruti,We appreciate your Macromolecular Materials and Engineering paper,"Good Day Dr. Jeyachandran, I found your 2022 paper - ""Simple Fabrication and Enhanced Bioactivity of Bioglass-Poly(lactic-co... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Simple Fabrication and Enhanced Bioactivity of Bioglass-Poly(lactic-co-glycolic acid) Composite Scaffolds with Matrix Microporosity,https://doi.org/10.1002/mame.202100863,Macromolecular Materials and Engineering,Fonds de recherche du Québec – Nature et technologies | ,1,"Scaffold porosity plays an important role in bone tissue engineering as macropores promote 
cell migration and micropores promote protein adsorption and cell adhesion. Currently, ...",0,1,0,0,0,0,0,0
0,No,Pedro Silva Couto,Pedro Silva Couto,UCL: University College London,Qasim Rafiq,We appreciate your Research Square paper,"Good Day Dr. Couto, I found your 2022 paper - ""Understanding the impact of bioactive coating materials for human mese... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Understanding the impact of bioactive coating materials for human mesenchymal stem cells and implications for manufacturing,https://doi.org/10.21203/rs.3.rs-2093359/v1,Research Square,Fonds de recherche du Québec – Nature et technologies | ,0,"... A vial of hMSCs (Roosterbio, US) was expanded in monolayer for two passages and 
cryopreserved at the density of 1x106/mL using CryoStor(r) CS10 (hereafter referred to as CS10) ...",0,0,1,0,0,0,0,0
0,No,Hemanta Timsina,Hemanta Timsina,Ralph E. Martin Department of Chemical Engineering University of Arkansas  Fayetteville Arkansas USA,Jorge Almodovar,We appreciate your Biotechnology Journal paper,"Good Day Dr. Timsina, I found your 2022 paper - ""A comparative evaluation of layer-by-layer assembly techniques for sur... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",A comparative evaluation of layer-by-layer assembly techniques for surface modification of microcarriers used in human mesenchymal stromal cell manufacturing,https://doi.org/10.1002/biot.202100605,Biotechnology Journal,Fonds de recherche du Québec – Nature et technologies | ,0,"A comparative evaluation of layera*'bya*'layer assembly techniques for surface modification 
of microcarriers used in h Page 1 This article has been accepted for publication and ...",0,0,0,0,0,0,0,0
0,No,Michael A. Stager,Michael A. Stager,Department of Chemical and Biological Engineering Colorado School of Mines  Golden CO 80401 USA,Melissa D. Krebs,We appreciate your Macromolecular Bioscience paper,"Good Day Dr. Stager, I found your 2022 paper - ""Polyelectrolyte Complex Hydrogels with Controlled Mechanics Affect Mes... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Polyelectrolyte Complex Hydrogels with Controlled Mechanics Affect Mesenchymal Stem Cell Differentiation Relevant to Growth Plate Injuries,https://doi.org/10.1002/mabi.202200126,Macromolecular Bioscience,National Institute of Arthritis and Musculoskeletal and Skin Diseases | ,0,"The growth plate is a complex cartilage structure in long bones that mediates growth in 
children. When injured, the formation of a ""bony bar"" can occur which impedes normal growth ...",0,1,0,0,0,0,0,0
0,No,Antonina M. Araszkiewicz,Antonina M. Araszkiewicz,"NeuroRepair Department, Mossakowski Medical Research Institute, Polish Academy of Sciences, Warsaw, Poland",Luiza Stanaszek,We appreciate your International Journal of Molecular Sciences paper,"Good Day Dr. Araszkiewicz, I found your 2022 paper - ""Manganese-Labeled Alginate Hydrogels for Image-Guided Cell Transplanta... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Manganese-Labeled Alginate Hydrogels for Image-Guided Cell Transplantation,https://doi.org/10.3390/ijms23052465,International Journal of Molecular Sciences,National Centre for Research and Development | ,1,"Cell transplantation has been studied extensively as a therapeutic strategy for neurological 
disorders. However, to date, its effectiveness remains unsatisfactory due to low precision and ...",1,0,0,0,0,0,0,0
0,No,Mikołaj Rogalski,Mikołaj Rogalski,"Institute of Micromechanics and Photonics, Warsaw University of Technology, Warsaw, Poland",Maciej Trusiak,We appreciate your Optics and Lasers in Engineering paper,"Good Day Dr. Rogalski, I found your 2022 paper - ""Tailoring 2D fast iterative filtering algorithm for low-contrast optic... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Tailoring 2D fast iterative filtering algorithm for low-contrast optical fringe pattern preprocessing,https://doi.org/10.1016/j.optlaseng.2022.107069,Optics and Lasers in Engineering,National Centre for Research and Development | ,2,"... Cells were cultured in a dedicated medium (RoosterBio). Cells that reached appropriate 
density on glass coverslips were fixed in 4% paraformaldehyde and mounted on the ...",0,0,0,0,0,1,0,0
0,No,Rumiana Tenchov,Rumiana Tenchov,"CAS, a Division of the American Chemical Society, 2540 Olentangy River Rd, Columbus, Ohio 43202, United States",Qiongqiong Angela Zhou,We appreciate your ACS Nano paper,"Good Day Dr. Tenchov, I found your 2022 paper - ""Exosomes-Nature's Lipid Nanoparticles, a Rising Star in Drug Delivery ... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ","Exosomes-Nature's Lipid Nanoparticles, a Rising Star in Drug Delivery and Diagnostics",https://doi.org/10.1021/acsnano.2c08774,ACS Nano,National Centre for Research and Development | ,0,"... RoosterBio (USA) RoosterBio is dedicated to accelerating exosome product and process 
development for exosome therapeutics. They have developed an extensive panel of exosome ...",0,0,0,0,1,0,0,0
0,No,Smitha Surendran Thamarath,Smitha Surendran Thamarath,"Critical Analytics for Manufacturing of Personalized Medicine, Singapore-MIT Alliance for Research and Technology, National University of Singapore",Jongyoon Han,We appreciate your bioRxiv paper,"Good Day Dr. Thamarath, I found your 2022 paper - ""Rapid and Live-cell Detection of Senescence in Mesenchymal Stem Cells ... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Rapid and Live-cell Detection of Senescence in Mesenchymal Stem Cells by Micro Magnetic Resonance Relaxometry,https://doi.org/10.1101/2022.06.01.494362,bioRxiv,National Centre for Research and Development | ,0,"Detection of cellular senescence is important quality analytics for cell therapy products, 
including mesenchymal stromal cells (MSCs). However, their detection is critically limited by the ...",0,0,0,0,0,0,0,0
0,No,Scott Estes,Scott Estes,"Codiak BioSciences, Cambridge, MA, USA",Jamey D Young,We appreciate your Current Opinion in Biotechnology paper,"Good Day Dr. Estes, I found your 2022 paper - ""Manufactured extracellular vesicles as human therapeutics: challenges,... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ","Manufactured extracellular vesicles as human therapeutics: challenges, advances, and opportunities",https://doi.org/10.1016/j.copbio.2022.102776,Current Opinion in Biotechnology,National Science Foundation | ,1,"Extracellular vesicles (EVs) have evolved across all phyla as an intercellular communication 
system. There are intrinsic advantages of leveraging this capability to deliver therapeutic ...",0,0,0,0,1,0,0,0
0,No,Natasha Salame,Natasha Salame,Universite de Montreal,Moutih Rafei,We appreciate your Research Square paper,"Good Day Dr. Salame, I found your 2022 paper - ""Um171A-Induced Ros Promote Antigen Cross-Presentation Of Immunogenic P... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Um171A-Induced Ros Promote Antigen Cross-Presentation Of Immunogenic Peptides By Bone Marrow-Derived Mesenchymal Stromal Cells,https://doi.org/10.21203/rs.3.rs-847265/v1,Research Square,National Science Foundation | ,0,"... Human umbilical cord (UC)-derived MSCs and their specific culture media were purchased 
from RoosterBio Inc. (Frederick, MD, USA). All remaining cell culture media and reagents ...",0,1,0,0,0,0,0,1
0,No,Lye Theng Lock,Lye Theng Lock,,Jon A. Rowley,We appreciate your Cytotherapy paper,"Good Day Dr. Lock, I found your 2022 paper - ""Rapid and economic generation of consistent hmsc spheroids for macrosc... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Rapid and economic generation of consistent hmsc spheroids for macroscopic tissue biofabrication and therapeutic applications,https://doi.org/10.1016/j.jcyt.2015.03.576,Cytotherapy,National Science Foundation | ,1,,0,0,0,0,0,0,0,0
0,No,Fatemeh Mardani,Fatemeh Mardani,"Department of Pharmacology and Physiology, Universite de Montreal, Montreal, Canada",Moutih Rafei,We appreciate your Cells paper,"Good Day Dr. Mardani, I found your 2022 paper - ""LSD1 Inhibition Enhances the Immunogenicity of Mesenchymal Stromal Cel... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",LSD1 Inhibition Enhances the Immunogenicity of Mesenchymal Stromal Cells by Eliciting a dsRNA Stress Response,https://doi.org/10.3390/cells11111816,Cells,Natural Sciences and Engineering Research Council | Cancer Research Society | Canadian Cancer Society | ,1,"Mesenchymal stromal cells (MSCs) are commonly known for their immune-suppressive 
abilities. However, our group provided evidence that it is possible to convert MSCs into potent ...",0,0,0,0,0,0,0,0
0,No,Stephanie M. Kronstadt,Stephanie M. Kronstadt,"Fischell Department of Bioengineering, University of Maryland, College Park, MD USA",Steven M. Jay,We appreciate your bioRxiv paper,"Good Day Dr. Kronstadt, I found your 2022 paper - ""Mesenchymal stem cell culture within perfusion bioreactors incorporati... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Mesenchymal stem cell culture within perfusion bioreactors incorporating 3D-printed scaffolds enables improved extracellular vesicle yield with preserved bioactivity,https://doi.org/10.1101/2022.08.30.505860,bioRxiv,Natural Sciences and Engineering Research Council | Cancer Research Society | Canadian Cancer Society | ,0,"Extracellular vesicles (EVs) are implicated as promising therapeutics and drug delivery 
vehicles in various diseases. However, successful clinical translation will depend on ...",0,1,0,0,1,0,0,0
0,No,Nureddin Ashammakhi,Nureddin Ashammakhi,"Department of Bioengineering, Henry Samueli School of Engineering, University of California, Los Angeles, California, USA.",Edward J. Caterson,We appreciate your Tissue Engineering Part B: Reviews paper,"Good Day Dr. Ashammakhi, I found your 2022 paper - ""Highlights on Advancing Frontiers in Tissue Engineering... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Highlights on Advancing Frontiers in Tissue Engineering,https://doi.org/10.1089/ten.teb.2021.0012,Tissue Engineering Part B: Reviews,Natural Sciences and Engineering Research Council | Cancer Research Society | Canadian Cancer Society | ,9,"The field of tissue engineering continues to advance, sometimes in exponential leaps forward, 
but also sometimes at a rate that does not fulfill the promise that the field imagined a few ...",0,0,0,0,0,0,0,0
0,No,Kazim Kerim Moncal,Kazim Kerim Moncal,"Penn State, University Park, PA, USA",Ibrahim T Ozbolat,We appreciate your Biofabrication paper,"Good Day Dr. Moncal, I found your 2022 paper - ""Comparison of in-situ versus ex-situ delivery of polyethylenimine-BMP-... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Comparison of in-situ versus ex-situ delivery of polyethylenimine-BMP-2 polyplexes for rat calvarial defect repair via intraoperative bioprinting,https://doi.org/10.1088/1758-5090/ac9f70,Biofabrication,"Osteology Foundation | National Institute of Dental and Craniofacial Research | International Team for Implantology | Division of Civil, Mechanical and Manufacturing Innovation | ",0,"Gene therapeutic applications combined with bio- and nano-materials have been used to 
address current shortcomings in bone tissue engineering due to their feasibility, safety and ...",0,1,0,0,0,0,0,0
0,No,Laurent Renesme,Laurent Renesme,"Regenerative Medicine Program, The Ottawa Hospital Research Institute, Ottawa, ON, Canada",Bernard Thébaud,We appreciate your Stem Cells Translational Medicine paper,"Good Day Dr. Renesme, I found your 2022 paper - ""Definition and Characteristics of Mesenchymal Stromal Cells in Preclin... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Definition and Characteristics of Mesenchymal Stromal Cells in Preclinical and Clinical Studies: A Scoping Review,https://doi.org/10.1093/stcltm/szab009,Stem Cells Translational Medicine,Ottawa Hospital Anesthesia Alternate Funds Association | ,2,"Mesenchymal stromal cells (MSCs) are widely used in preclinical and clinical research. 
Despite minimal criteria to define MSCs provided by the International Society for Cell and Gene ...",0,0,0,0,0,0,0,0
0,No,Marley J. Dewey,Marley J. Dewey,"Dept. of Materials Science and Engineering, University of Illinois Urbana-Champaign, Urbana, IL",Brendan A.C. Harley,We appreciate your bioRxiv paper,"Good Day Dr. Dewey, I found your 2022 paper - ""Evaluation of <i>P. aeruginosa</i> attachment on mineralized collagen ... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Evaluation of <i>P. aeruginosa</i> attachment on mineralized collagen scaffolds and addition of manuka honey to increase mesenchymal stem cell osteogenesis,https://doi.org/10.1101/2022.01.28.478244,bioRxiv,Ottawa Hospital Anesthesia Alternate Funds Association | ,0,"The design of biomaterials to regenerate bone is likely to increasingly require modifications 
that reduce bacterial attachment and biofilm formation as infection during wound ...",0,1,0,0,0,0,0,0
